,Project ID,country_atlas,un-region,bureau,year,title_atlas,description,sector,budget_atlas,expense,sdgs,solution,donors_atlas,funding source,lifetime budget
10,94515,AFG,Asia-Pacific Group,RBAP,2019,Support Afghanistan Livelihoods and Mobility (SALAM) Project,Support Afghanistan Livelihoods and Mobility (SALAM),"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",1509878,2596632,"[1, 7, 8, 9]","['Others', 'Close the energy gap']","['GOVERNMENT OF FINLAND', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,6232737
11,93793,AFG,Asia-Pacific Group,RBAP,2019,National Human Development Report,National Human Development Report Extractive Industry and Human Development in Afghanistan ,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",153411,115271,"[1, 2, 7]",['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,1236517
12,88841,AFG,Asia-Pacific Group,RBAP,2020,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",1300001,1517700,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
13,93793,AFG,Asia-Pacific Group,RBAP,2020,National Human Development Report,National Human Development Report Extractive Industry and Human Development in Afghanistan ,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",91240,62293,"[1, 2, 7]",['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,1236517
14,94515,AFG,Asia-Pacific Group,RBAP,2020,Support Afghanistan Livelihoods and Mobility (SALAM) Project,Support Afghanistan Livelihoods and Mobility (SALAM),"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",15001,1536,"[1, 7, 8, 9]","['Others', 'Close the energy gap']","['GOVERNMENT OF FINLAND', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,6232737
15,132059,AFG,Asia-Pacific Group,RBAP,2020,Rural Energy Market Transform,The project will support to transform rural renewable energy markets leading to reduced emissions and strengthen adaptive capacities of the communities around them.,"[{'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",1,0,[7],['Others'],['GREEN CLIMATE FUND'],Non-VF,4437789
16,132059,AFG,Asia-Pacific Group,RBAP,2021,Rural Energy Market Transform,The project will support to transform rural renewable energy markets leading to reduced emissions and strengthen adaptive capacities of the communities around them.,"[{'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",3991788,703556,[7],['Others'],['GREEN CLIMATE FUND'],Non-VF,4437789
17,88841,AFG,Asia-Pacific Group,RBAP,2021,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",137185,206616,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
18,93793,AFG,Asia-Pacific Group,RBAP,2021,National Human Development Report,National Human Development Report Extractive Industry and Human Development in Afghanistan ,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",30918,36219,"[1, 2, 7]",['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,1236517
19,132059,AFG,Asia-Pacific Group,RBAP,2022,Rural Energy Market Transform,The project will support to transform rural renewable energy markets leading to reduced emissions and strengthen adaptive capacities of the communities around them.,"[{'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",446000,-15030,[7],['Others'],['GREEN CLIMATE FUND'],Non-VF,4437789
20,93793,AFG,Asia-Pacific Group,RBAP,2022,National Human Development Report,National Human Development Report Extractive Industry and Human Development in Afghanistan ,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",10000,5882,"[1, 2, 7]",['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,1236517
21,94515,AFG,Asia-Pacific Group,RBAP,2022,Support Afghanistan Livelihoods and Mobility (SALAM) Project,Support Afghanistan Livelihoods and Mobility (SALAM),"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",1,-1046,"[1, 7, 8, 9]","['Others', 'Close the energy gap']","['GOVERNMENT OF FINLAND', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,6232737
22,147445,AFG,Asia-Pacific Group,RBAP,2022,SESEHA,Sustainable Energy Services for Education and Health in Afghanistan (SESEHA),[],1,10214,[],['Others'],['KREDITANSTALT FUR WIEDERAUFBAU'],Non-VF,1
23,88841,AFG,Asia-Pacific Group,RBAP,2022,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",0,36,"[1, 7]","['Others', 'Keeping people out of poverty']","['GOVERNMENT OF REPUBLIC OF KOREA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11006244
24,50767,ALB,Asia-Pacific Group,RBAP,2012,Albania - Solar Water Heating,"The Country Programme of Albania under the Global  
Solar Water Heating Market Transformation and Strengthening Initiative (PIMS 3611)","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",319714,230430,"[13, 7]",['Close the energy gap'],"['Global Environment Fund Truste', 'GOVERNMENT OF ALBANIA', 'GOVERNMENT OF TURKEY', 'MPTF-SDGs Acceleration Fund for Albania', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2083305
25,50767,ALB,Asia-Pacific Group,RBAP,2013,Albania - Solar Water Heating,"The Country Programme of Albania under the Global  
Solar Water Heating Market Transformation and Strengthening Initiative (PIMS 3611)","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",309309,233776,"[13, 7]",['Close the energy gap'],"['Global Environment Fund Truste', 'GOVERNMENT OF ALBANIA', 'GOVERNMENT OF TURKEY', 'MPTF-SDGs Acceleration Fund for Albania', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2083305
26,77782,ALB,Asia-Pacific Group,RBAP,2013,Inclusive Social Policies,"Inclusive Social Policies - Social Inclusion Programe, One UN","[{'code': '1', 'name': 'Inclusive Growth'}]",0,0,[7],['Others'],"['MPTF-SDGs Acceleration Fund for Albania', 'UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT']",Non-VF,1253789
27,77782,ALB,Asia-Pacific Group,RBAP,2014,Inclusive Social Policies,"Inclusive Social Policies - Social Inclusion Programe, One UN","[{'code': '1', 'name': 'Inclusive Growth'}]",366970,330383,[7],['Others'],"['MPTF-SDGs Acceleration Fund for Albania', 'UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT']",Non-VF,1253789
28,50767,ALB,Asia-Pacific Group,RBAP,2014,Albania - Solar Water Heating,"The Country Programme of Albania under the Global  
Solar Water Heating Market Transformation and Strengthening Initiative (PIMS 3611)","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",237455,239288,"[13, 7]",['Close the energy gap'],"['Global Environment Fund Truste', 'GOVERNMENT OF ALBANIA', 'GOVERNMENT OF TURKEY', 'MPTF-SDGs Acceleration Fund for Albania', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2083305
29,77782,ALB,Asia-Pacific Group,RBAP,2015,Inclusive Social Policies,"Inclusive Social Policies - Social Inclusion Programe, One UN","[{'code': '1', 'name': 'Inclusive Growth'}]",713816,573725,[7],['Others'],"['MPTF-SDGs Acceleration Fund for Albania', 'UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT']",Non-VF,1253789
30,50767,ALB,Asia-Pacific Group,RBAP,2015,Albania - Solar Water Heating,"The Country Programme of Albania under the Global  
Solar Water Heating Market Transformation and Strengthening Initiative (PIMS 3611)","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",264827,93750,"[13, 7]",['Close the energy gap'],"['Global Environment Fund Truste', 'GOVERNMENT OF ALBANIA', 'GOVERNMENT OF TURKEY', 'MPTF-SDGs Acceleration Fund for Albania', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2083305
31,50767,ALB,Asia-Pacific Group,RBAP,2016,Albania - Solar Water Heating,"The Country Programme of Albania under the Global  
Solar Water Heating Market Transformation and Strengthening Initiative (PIMS 3611)","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",451735,417142,"[13, 7]",['Close the energy gap'],"['Global Environment Fund Truste', 'GOVERNMENT OF ALBANIA', 'GOVERNMENT OF TURKEY', 'MPTF-SDGs Acceleration Fund for Albania', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2083305
32,77782,ALB,Asia-Pacific Group,RBAP,2016,Inclusive Social Policies,"Inclusive Social Policies - Social Inclusion Programe, One UN","[{'code': '1', 'name': 'Inclusive Growth'}]",168193,171760,[7],['Others'],"['MPTF-SDGs Acceleration Fund for Albania', 'UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT']",Non-VF,1253789
33,89215,ALB,Asia-Pacific Group,RBAP,2016,Minamata Initial Assessment for Albania,"Undertake a Initial Mercury Assessment to identify the national mercury challenges and the extent to which legal, policy and regulatory framework will enable Albania to implement future obligations under the Minamata Convention","[{'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '2', 'name': 'Democratic Governance'}]",14399,11399,"[16, 7]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,219383
34,50767,ALB,Asia-Pacific Group,RBAP,2017,Albania - Solar Water Heating,"The Country Programme of Albania under the Global  
Solar Water Heating Market Transformation and Strengthening Initiative (PIMS 3611)","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",390558,354735,"[13, 7]",['Close the energy gap'],"['Global Environment Fund Truste', 'GOVERNMENT OF ALBANIA', 'GOVERNMENT OF TURKEY', 'MPTF-SDGs Acceleration Fund for Albania', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2083305
35,89215,ALB,Asia-Pacific Group,RBAP,2017,Minamata Initial Assessment for Albania,"Undertake a Initial Mercury Assessment to identify the national mercury challenges and the extent to which legal, policy and regulatory framework will enable Albania to implement future obligations under the Minamata Convention","[{'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '2', 'name': 'Democratic Governance'}]",123997,107614,"[16, 7]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,219383
36,77782,ALB,Asia-Pacific Group,RBAP,2017,Inclusive Social Policies,"Inclusive Social Policies - Social Inclusion Programe, One UN","[{'code': '1', 'name': 'Inclusive Growth'}]",4768,4876,[7],['Others'],"['MPTF-SDGs Acceleration Fund for Albania', 'UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT']",Non-VF,1253789
37,50767,ALB,Asia-Pacific Group,RBAP,2018,Albania - Solar Water Heating,"The Country Programme of Albania under the Global  
Solar Water Heating Market Transformation and Strengthening Initiative (PIMS 3611)","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",109707,108566,"[13, 7]",['Close the energy gap'],"['Global Environment Fund Truste', 'GOVERNMENT OF ALBANIA', 'GOVERNMENT OF TURKEY', 'MPTF-SDGs Acceleration Fund for Albania', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,2083305
38,89215,ALB,Asia-Pacific Group,RBAP,2018,Minamata Initial Assessment for Albania,"Undertake a Initial Mercury Assessment to identify the national mercury challenges and the extent to which legal, policy and regulatory framework will enable Albania to implement future obligations under the Minamata Convention","[{'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '2', 'name': 'Democratic Governance'}]",62411,62171,"[16, 7]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,219383
39,94872,ALB,Asia-Pacific Group,RBAP,2018,Albanias First Biennial Update Report and Fourth Nation,Albanias First Biennial Update Report and Fourth National Communication under the UNFCCC,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",30000,18296,[7],['Close the energy gap'],"['Global Environment Fund Truste', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1080097
40,77782,ALB,Asia-Pacific Group,RBAP,2018,Inclusive Social Policies,"Inclusive Social Policies - Social Inclusion Programe, One UN","[{'code': '1', 'name': 'Inclusive Growth'}]",42,42,[7],['Others'],"['MPTF-SDGs Acceleration Fund for Albania', 'UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT']",Non-VF,1253789
41,94872,ALB,Asia-Pacific Group,RBAP,2019,Albanias First Biennial Update Report and Fourth Nation,Albanias First Biennial Update Report and Fourth National Communication under the UNFCCC,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",215946,209319,[7],['Close the energy gap'],"['Global Environment Fund Truste', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1080097
42,89215,ALB,Asia-Pacific Group,RBAP,2019,Minamata Initial Assessment for Albania,"Undertake a Initial Mercury Assessment to identify the national mercury challenges and the extent to which legal, policy and regulatory framework will enable Albania to implement future obligations under the Minamata Convention","[{'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '2', 'name': 'Democratic Governance'}]",18576,18404,"[16, 7]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,219383
43,94872,ALB,Asia-Pacific Group,RBAP,2020,Albanias First Biennial Update Report and Fourth Nation,Albanias First Biennial Update Report and Fourth National Communication under the UNFCCC,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",275469,195424,[7],['Close the energy gap'],"['Global Environment Fund Truste', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1080097
44,94872,ALB,Asia-Pacific Group,RBAP,2021,Albanias First Biennial Update Report and Fourth Nation,Albanias First Biennial Update Report and Fourth National Communication under the UNFCCC,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",275434,257241,[7],['Close the energy gap'],"['Global Environment Fund Truste', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1080097
45,94872,ALB,Asia-Pacific Group,RBAP,2022,Albanias First Biennial Update Report and Fourth Nation,Albanias First Biennial Update Report and Fourth National Communication under the UNFCCC,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",283248,300785,[7],['Close the energy gap'],"['Global Environment Fund Truste', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1080097
46,142609,ALB,Asia-Pacific Group,RBAP,2022,Assist NDC implementation in Albania,Market transformation for solar energy PV acceleration in Albania,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",127205,87236,"[15, 7]",['Others'],"['GOVERNMENT OF GERMANY', 'GOVERNMENT OF JAPAN']",Non-VF,127205
47,134985,ALB,Asia-Pacific Group,RBAP,2022,Private Sector Development,Business Partnerships and Solutions for SDGs,"[{'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",87000,54842,"[2, 7, 8]",['Others'],['MPTFO-Albania SDG Fund II'],Non-VF,87000
48,87774,DZA,Asia-Pacific Group,RBAP,2016,Capacity Development - Communes modèles,Le programme vise à doter les communes pilotes des compétences et outils de bonne gouvernance en assurant la participation des populations dans le développement local.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '3', 'name': 'Basic Services'}]",350000,0,"[1, 10, 11, 12, 16, 3, 5, 7]","['Others', 'Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Promote nature-based solutions for a sustainable planet']","['EUROPEAN COMMISSION', 'GOVERNMENT OF ALGERIA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,15684741
49,87774,DZA,Asia-Pacific Group,RBAP,2017,Capacity Development - Communes modèles,Le programme vise à doter les communes pilotes des compétences et outils de bonne gouvernance en assurant la participation des populations dans le développement local.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '3', 'name': 'Basic Services'}]",1903000,875462,"[1, 10, 11, 12, 16, 3, 5, 7]","['Others', 'Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Promote nature-based solutions for a sustainable planet']","['EUROPEAN COMMISSION', 'GOVERNMENT OF ALGERIA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,15684741
50,87774,DZA,Asia-Pacific Group,RBAP,2018,Capacity Development - Communes modèles,Le programme vise à doter les communes pilotes des compétences et outils de bonne gouvernance en assurant la participation des populations dans le développement local.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '3', 'name': 'Basic Services'}]",3681182,2703959,"[1, 10, 11, 12, 16, 3, 5, 7]","['Others', 'Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Promote nature-based solutions for a sustainable planet']","['EUROPEAN COMMISSION', 'GOVERNMENT OF ALGERIA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,15684741
51,87774,DZA,Asia-Pacific Group,RBAP,2019,Capacity Development - Communes modèles,Le programme vise à doter les communes pilotes des compétences et outils de bonne gouvernance en assurant la participation des populations dans le développement local.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '3', 'name': 'Basic Services'}]",3027060,2354032,"[1, 10, 11, 12, 16, 3, 5, 7]","['Others', 'Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Promote nature-based solutions for a sustainable planet']","['EUROPEAN COMMISSION', 'GOVERNMENT OF ALGERIA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,15684741
52,87774,DZA,Asia-Pacific Group,RBAP,2020,Capacity Development - Communes modèles,Le programme vise à doter les communes pilotes des compétences et outils de bonne gouvernance en assurant la participation des populations dans le développement local.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '3', 'name': 'Basic Services'}]",2461915,1211157,"[1, 10, 11, 12, 16, 3, 5, 7]","['Others', 'Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Promote nature-based solutions for a sustainable planet']","['EUROPEAN COMMISSION', 'GOVERNMENT OF ALGERIA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,15684741
53,87774,DZA,Asia-Pacific Group,RBAP,2021,Capacity Development - Communes modèles,Le programme vise à doter les communes pilotes des compétences et outils de bonne gouvernance en assurant la participation des populations dans le développement local.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '3', 'name': 'Basic Services'}]",2456576,1533924,"[1, 10, 11, 12, 16, 3, 5, 7]","['Others', 'Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Promote nature-based solutions for a sustainable planet']","['EUROPEAN COMMISSION', 'GOVERNMENT OF ALGERIA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,15684741
54,87774,DZA,Asia-Pacific Group,RBAP,2022,Capacity Development - Communes modèles,Le programme vise à doter les communes pilotes des compétences et outils de bonne gouvernance en assurant la participation des populations dans le développement local.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '3', 'name': 'Basic Services'}]",1805008,1210294,"[1, 10, 11, 12, 16, 3, 5, 7]","['Others', 'Keeping people out of poverty', 'Strengthen effective, inclusive and accountable governance', 'Promote nature-based solutions for a sustainable planet']","['EUROPEAN COMMISSION', 'GOVERNMENT OF ALGERIA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,15684741
55,88171,AGO,Asia-Pacific Group,RBAP,2015,Support to Sustainable  Energy for All Initiative,Support to Sustainable  Energy for All Initiative,"[{'code': '5', 'name': 'Risk Reduction'}]",40000,34031,[13],['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,40000
56,97226,AGO,Asia-Pacific Group,RBAP,2016,STRENGTHENING THE NATIONAL RESPONSE TO HIV IN ANGOLA,"Global Fund HIV grant (2016-2017) managed by UNDP Angola Country Office as Principal Recipient. The grant aims to contribute to achieving national targets in the response to HIV, as outlined in the National Strategic Plan (2015-2018).","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",8061908,3826319,"[3, 7]","['Strengthen effective, inclusive and accountable governance']","['GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS', 'UNITED NATIONS DEVELOPMENT FUND FOR WOMEN (UN WOMEN)']",Non-VF,27359990
57,88171,AGO,Asia-Pacific Group,RBAP,2016,Support to Sustainable  Energy for All Initiative,Support to Sustainable  Energy for All Initiative,"[{'code': '5', 'name': 'Risk Reduction'}]",0,4779,[13],['Others'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,40000
58,97226,AGO,Asia-Pacific Group,RBAP,2017,STRENGTHENING THE NATIONAL RESPONSE TO HIV IN ANGOLA,"Global Fund HIV grant (2016-2017) managed by UNDP Angola Country Office as Principal Recipient. The grant aims to contribute to achieving national targets in the response to HIV, as outlined in the National Strategic Plan (2015-2018).","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}]",11246247,10792392,"[3, 7]","['Strengthen effective, inclusive and accountable governance']","['GLOBAL FUND TO FIGHT AIDS, TUBERCULOSIS', 'UNITED NATIONS DEVELOPMENT FUND FOR WOMEN (UN WOMEN)']",Non-VF,27359990
